host_time_unix,host_monotonic_s,phase,watts
1788739315.4134746,2219557.316217287,active:t08:vision_ccd_to_next_slm,103.22
1788739315.4235437,2219557.326286579,active:t08:vision_ccd_to_next_slm,103.22
1788739315.4336095,2219557.336352161,active:t08:vision_ccd_to_next_slm,103.22
1788739315.4436762,2219557.346418983,active:t08:vision_ccd_to_next_slm,103.22
1788739315.4537456,2219557.356488334,active:t08:vision_ccd_to_next_slm,103.22
1788739315.4638147,2219557.3665574,active:t08:vision_ccd_to_next_slm,103.22
1788739315.4738789,2219557.376621447,active:t08:vision_ccd_to_next_slm,103.22
1788739315.4839485,2219557.386691186,active:t08:vision_ccd_to_next_slm,103.22
1788739315.4940138,2219557.396756265,active:t08:vision_ccd_to_next_slm,103.22
1788739315.5040824,2219557.406825243,active:t08:vision_ccd_to_next_slm,103.22
1788739315.5141459,2219557.41688852,active:t08:vision_ccd_to_next_slm,103.22
1788739315.5242138,2219557.426956541,active:t08:vision_ccd_to_next_slm,103.22
1788739315.5342824,2219557.437025301,active:t08:vision_ccd_to_next_slm,103.22
1788739315.5443504,2219557.44709322,active:t08:vision_ccd_to_next_slm,103.22
1788739315.55442,2219557.457162767,active:t08:vision_ccd_to_next_slm,103.22
1788739315.5645103,2219557.467253076,active:t08:vision_ccd_to_next_slm,103.22
1788739315.5745516,2219557.477294288,active:t08:vision_ccd_to_next_slm,103.22
1788739315.5846243,2219557.487367172,active:t08:vision_ccd_to_next_slm,103.22
1788739315.5946903,2219557.497432907,active:t08:vision_ccd_to_next_slm,103.22
1788739315.6047623,2219557.507504938,active:t08:vision_ccd_to_next_slm,103.22
1788739315.6148243,2219557.517566987,active:t08:vision_ccd_to_next_slm,103.22
1788739315.6248908,2219557.527633623,active:t08:vision_ccd_to_next_slm,103.22
1788739315.6349564,2219557.53769895,active:t08:vision_ccd_to_next_slm,103.22
1788739315.645027,2219557.547769668,active:t08:vision_ccd_to_next_slm,103.22
1788739315.6550965,2219557.557839195,active:t08:vision_ccd_to_next_slm,103.22
1788739315.665162,2219557.56790457,active:t08:vision_ccd_to_next_slm,103.22
1788739315.675235,2219557.577977745,active:t08:vision_ccd_to_next_slm,103.22
1788739315.6852982,2219557.588040787,active:t08:vision_ccd_to_next_slm,103.22
1788739315.695371,2219557.59811383,active:t08:vision_ccd_to_next_slm,103.22
1788739315.7054312,2219557.608173913,active:t08:vision_ccd_to_next_slm,103.22
1788739315.7154973,2219557.618239899,active:t08:vision_ccd_to_next_slm,103.22
1788739315.7255673,2219557.628309848,active:t08:vision_ccd_to_next_slm,103.22
1788739315.7356358,2219557.638378489,active:t08:vision_ccd_to_next_slm,103.22
1788739315.7457075,2219557.648450188,active:t08:vision_ccd_to_next_slm,103.22
1788739315.75578,2219557.658522866,active:t08:vision_ccd_to_next_slm,103.22
1788739315.765841,2219557.668583516,active:t08:vision_ccd_to_next_slm,103.22
1788739315.7759087,2219557.678651331,active:t08:vision_ccd_to_next_slm,103.22
1788739315.7859778,2219557.688720469,active:t08:vision_ccd_to_next_slm,103.22
1788739315.7960458,2219557.698788385,active:t08:vision_ccd_to_next_slm,103.22
1788739315.806117,2219557.708859939,active:t08:vision_ccd_to_next_slm,103.22
1788739315.8161795,2219557.718922146,active:t08:vision_ccd_to_next_slm,103.22
1788739315.8262477,2219557.728990444,active:t08:vision_ccd_to_next_slm,103.22
1788739315.8363163,2219557.739059027,active:t08:vision_ccd_to_next_slm,103.22
1788739315.846381,2219557.74912378,active:t08:vision_ccd_to_next_slm,103.22
1788739315.8564477,2219557.759190364,active:t08:vision_ccd_to_next_slm,103.22
1788739315.8665185,2219557.769261331,active:t08:vision_ccd_to_next_slm,104.05
1788739315.8765872,2219557.779329887,active:t08:vision_ccd_to_next_slm,104.05
1788739315.886656,2219557.789398674,active:t08:vision_ccd_to_next_slm,104.05
1788739315.8967245,2219557.799467182,active:t08:vision_ccd_to_next_slm,104.05
1788739315.9067929,2219557.809535558,active:t08:vision_ccd_to_next_slm,104.05
1788739315.9168618,2219557.81960446,active:t08:vision_ccd_to_next_slm,104.05
