dataset,method,intervention,top1_percent,top3_percent,top1_change_pp
imagenette,qwen_vision_pooled_lora,lora_disabled_same_decoder,39.10827934741974,66.8789803981781,-0.025478005409240723
imagenette,qwen_vision_pooled_lora,remove_optical,23.414012789726257,49.808916449546814,-15.719744563102722
imagenette,qwen_vision_pooled_lora,remove_electronic,22.92993664741516,47.770699858665466,-16.20382070541382
imagenette,qwen_vision_pooled_lora,remove_vision_optical,31.210190057754517,59.6942663192749,-7.923567295074463
imagenette,qwen_vision_pooled_lora,remove_language_optical,22.700637578964233,51.13375782966614,-16.433119773864746
imagenette,qwen_vision_lora,initial_experts,35.49044728279114,64.20382261276245,-1.7579615116119385
imagenette,qwen_vision_lora,flat_pi_experts,35.49044728279114,64.20382261276245,-1.7579615116119385
imagenette,qwen_vision_lora,lora_disabled_same_decoder,37.477707862854004,66.16560220718384,0.22929906845092773
imagenette,qwen_vision_lora,remove_optical,21.859872341156006,49.07006323337555,-15.38853645324707
imagenette,qwen_vision_lora,remove_electronic,23.77070039510727,45.57961821556091,-13.477708399295807
imagenette,qwen_vision_lora,remove_vision_optical,30.44585883617401,56.10191226005554,-6.802549958229065
imagenette,qwen_vision_lora,remove_language_optical,23.15923571586609,52.509552240371704,-14.089173078536987
imagenette,qwen_vision_global_lora,initial_experts,32.20382034778595,59.28662419319153,-4.1528671979904175
imagenette,qwen_vision_global_lora,flat_pi_experts,32.20382034778595,59.28662419319153,-4.1528671979904175
imagenette,qwen_vision_global_lora,lora_disabled_same_decoder,36.33120954036713,64.53503370285034,-0.025478005409240723
imagenette,qwen_vision_global_lora,remove_optical,23.79617840051651,51.363056898117065,-12.560509145259857
imagenette,qwen_vision_global_lora,remove_electronic,21.834394335746765,43.541401624679565,-14.522293210029602
imagenette,qwen_vision_global_lora,remove_vision_optical,30.67515790462494,57.14649558067322,-5.681529641151428
imagenette,qwen_vision_global_lora,remove_language_optical,24.509553611278534,52.840763330459595,-11.847133934497833
