host_time_unix,host_monotonic_s,phase,watts
1788928436.229914,45100388.712781,active:209,38.54
1788928436.4309442,45100388.91381207,active:210,39.81
1788928436.7318687,45100389.21473625,active:211,38.53
1788928437.0831745,45100389.56604204,active:212,38.82
1788928437.2840397,45100389.76690716,active:213,56.53
1788928437.5852444,45100390.06811178,active:214,38.54
1788928437.6354456,45100390.1183129,active:214,38.54
1788928437.8362665,45100390.31913391,active:215,38.73
1788928437.886432,45100390.369299226,active:215,69.4
1788928438.087271,45100390.570138305,active:216,38.53
1788928438.4386184,45100390.92148571,active:217,38.44
1788928438.6394114,45100391.12227876,active:218,38.92
1788928438.6896122,45100391.172479354,active:218,77.58
1788928438.8402154,45100391.32308342,active:219,40.2
1788928438.8904176,45100391.3732853,active:219,40.2
1788928439.1915612,45100391.674428456,active:220,38.54
1788928439.3423302,45100391.825197674,active:221,52.57
1788928439.392404,45100391.87527129,active:221,52.57
1788928439.6936784,45100392.17654563,active:222,38.73
1788928439.7437613,45100392.22662865,active:222,38.52
1788928439.9444723,45100392.42734013,active:223,38.63
1788928439.9947078,45100392.47757527,active:223,38.63
1788928440.195412,45100392.678278945,active:224,41.3
1788928440.245474,45100392.72834211,active:224,41.3
1788928440.5463395,45100393.02920688,active:225,38.53
1788928440.5964782,45100393.07934555,active:225,52.38
1788928440.646621,45100393.12948833,active:225,52.38
1788928440.897357,45100393.38022405,active:226,38.63
1788928441.1482668,45100393.63113422,active:227,38.63
1788928441.1984606,45100393.68132772,active:227,81.5
1788928441.349049,45100393.83191608,active:228,41.01
1788928441.499648,45100393.98251503,active:229,80.41
1788928441.5498815,45100394.03274865,active:229,38.83
1788928441.700343,45100394.18321011,active:230,83.1
1788928441.7506003,45100394.23346753,active:230,38.73
1788928442.0518649,45100394.53473202,active:231,38.54
1788928442.1018744,45100394.584741235,active:231,38.54
1788928442.352919,45100394.83578569,active:232,41.5
1788928442.403166,45100394.88603332,active:232,38.73
1788928442.5538094,45100395.036676764,active:233,39.22
1788928442.603969,45100395.08683628,active:233,39.22
1788928442.8049023,45100395.28777017,active:234,42.29
