phase,host_time_unix,watts,utilization_percent,memory_used_mib
active:batch263:size2,1788875012.5888631,233.61,76.0,4883.0
active:batch264:size2,1788875012.6391466,215.82,68.0,4883.0
active:batch265:size2,1788875012.6894248,215.82,68.0,4883.0
active:batch265:size2,1788875012.7397873,174.81,68.0,4883.0
active:batch266:size2,1788875012.7900782,174.81,68.0,4883.0
active:batch267:size2,1788875012.840432,238.99,74.0,4883.0
active:batch267:size2,1788875012.890716,238.99,74.0,4883.0
active:batch268:size2,1788875012.941046,254.88,74.0,4883.0
active:batch269:size2,1788875013.041519,146.43,72.0,4883.0
active:batch270:size2,1788875013.0918753,146.43,72.0,4883.0
active:batch271:size2,1788875013.1921902,226.8,72.0,4883.0
active:batch272:size2,1788875013.2425122,219.15,71.0,4883.0
active:batch273:size2,1788875013.3431895,234.69,71.0,4883.0
active:batch274:size2,1788875013.39622,234.69,71.0,4883.0
active:batch275:size2,1788875013.4853191,221.92,76.0,4883.0
active:batch276:size2,1788875013.5391846,221.92,76.0,4883.0
active:batch277:size2,1788875013.6294377,147.43,73.0,4883.0
